Date,Close
12/12/1990,1.415179
12/13/1990,1.455357
12/14/1990,1.424107
12/17/1990,1.433036
12/18/1990,1.508929
12/19/1990,1.495536
12/20/1990,1.571429
12/21/1990,1.607143
12/24/1990,1.571429
12/26/1990,1.5625
12/27/1990,1.553571
12/28/1990,1.535714
12/31/1990,1.535714
1/2/1991,1.553571
1/3/1991,1.535714
1/4/1991,1.544643
1/7/1991,1.544643
1/8/1991,1.544643
1/9/1991,1.616071
1/10/1991,1.683036
1/11/1991,1.678571
1/14/1991,1.651786
1/15/1991,1.669643
1/16/1991,1.776786
1/17/1991,1.830357
1/18/1991,1.794643
1/21/1991,1.8125
1/22/1991,1.830357
1/23/1991,1.848214
1/24/1991,1.861607
1/25/1991,1.910714
1/28/1991,1.946429
1/29/1991,1.919643
1/30/1991,1.982143
1/31/1991,1.982143
2/1/1991,1.991071
2/4/1991,1.973214
2/5/1991,2.0625
2/6/1991,2.03125
2/7/1991,2.0625
2/8/1991,2.138393
2/11/1991,2.191964
2/12/1991,2.142857
2/13/1991,2.142857
2/14/1991,2.040179
2/15/1991,2.058036
2/19/1991,2.142857
2/20/1991,2.178571
2/21/1991,2.107143
2/22/1991,2.133929
2/25/1991,2.071429
2/26/1991,2.080357
2/27/1991,2.080357
2/28/1991,2.044643
3/1/1991,2.0625
3/4/1991,2.084821
3/5/1991,2.254464
3/6/1991,2.25
3/7/1991,2.401786
3/8/1991,2.321429
3/11/1991,2.267857
3/12/1991,2.245536
3/13/1991,2.366071
3/14/1991,2.330357
3/15/1991,2.366071
3/18/1991,2.419643
3/19/1991,2.482143
3/20/1991,2.419643
3/21/1991,2.3125
3/22/1991,2.258929
3/25/1991,2.303571
3/26/1991,2.5
3/27/1991,2.473214
3/28/1991,2.428571
4/1/1991,2.446429
4/2/1991,2.598214
4/3/1991,2.5
4/4/1991,2.553571
4/5/1991,2.477679
4/8/1991,2.5
4/9/1991,2.455357
4/10/1991,2.388393
4/11/1991,2.535714
4/12/1991,2.5625
4/15/1991,2.223214
4/16/1991,2.294643
4/17/1991,2.258929
4/18/1991,2.178571
4/19/1991,2.129464
4/22/1991,2.196429
4/23/1991,2.196429
4/24/1991,2.169643
4/25/1991,2.089286
4/26/1991,2.09375
4/29/1991,2.080357
4/30/1991,1.964286
5/1/1991,1.6875
5/2/1991,1.75
5/3/1991,1.75
5/6/1991,1.794643
5/7/1991,1.808036
5/8/1991,1.776786
5/9/1991,1.8125
5/10/1991,1.830357
5/13/1991,1.883929
5/14/1991,1.910714
5/15/1991,1.803571
5/16/1991,1.75
5/17/1991,1.678571
5/20/1991,1.580357
5/21/1991,1.616071
5/22/1991,1.651786
5/23/1991,1.611607
5/24/1991,1.638393
5/28/1991,1.642857
5/29/1991,1.678571
5/30/1991,1.700893
5/31/1991,1.678571
6/3/1991,1.758929
6/4/1991,1.754464
6/5/1991,1.714286
6/6/1991,1.665179
6/7/1991,1.647321
6/10/1991,1.642857
6/11/1991,1.59375
6/12/1991,1.513393
6/13/1991,1.504464
6/14/1991,1.46875
6/17/1991,1.5
6/18/1991,1.504464
6/19/1991,1.491071
6/20/1991,1.5
6/21/1991,1.5
6/24/1991,1.491071
6/25/1991,1.513393
6/26/1991,1.535714
6/27/1991,1.517857
6/28/1991,1.482143
7/1/1991,1.517857
7/2/1991,1.508929
7/3/1991,1.540179
7/5/1991,1.629464
7/8/1991,1.669643
7/9/1991,1.674107
7/10/1991,1.6875
7/11/1991,1.669643
7/12/1991,1.669643
7/15/1991,1.625
7/16/1991,1.5625
7/17/1991,1.517857
7/18/1991,1.602679
7/19/1991,1.642857
7/22/1991,1.642857
7/23/1991,1.607143
7/24/1991,1.607143
7/25/1991,1.616071
7/26/1991,1.602679
7/29/1991,1.625
7/30/1991,1.660714
7/31/1991,1.651786
8/1/1991,1.754464
8/2/1991,1.785714
8/5/1991,1.732143
8/6/1991,1.767857
8/7/1991,1.799107
8/8/1991,1.803571
8/9/1991,1.8125
8/12/1991,1.848214
8/13/1991,1.910714
8/14/1991,1.959821
8/15/1991,1.901786
8/16/1991,1.901786
8/19/1991,1.803571
8/20/1991,1.821429
8/21/1991,1.919643
8/22/1991,1.9375
8/23/1991,1.892857
8/26/1991,1.892857
8/27/1991,1.928571
8/28/1991,1.901786
8/29/1991,1.892857
8/30/1991,1.892857
9/3/1991,1.875
9/4/1991,1.839286
9/5/1991,1.821429
9/6/1991,1.839286
9/9/1991,1.901786
9/10/1991,1.790179
9/11/1991,1.803571
9/12/1991,1.808036
9/13/1991,1.736607
9/16/1991,1.6875
9/17/1991,1.75
9/18/1991,1.790179
9/19/1991,1.776786
9/20/1991,1.808036
9/23/1991,1.767857
9/24/1991,1.794643
9/25/1991,1.803571
9/26/1991,1.785714
9/27/1991,1.75
9/30/1991,1.767857
10/1/1991,1.8125
10/2/1991,1.776786
10/3/1991,1.705357
10/4/1991,1.723214
10/7/1991,1.71875
10/8/1991,1.723214
10/9/1991,1.714286
10/10/1991,1.705357
10/11/1991,1.732143
10/14/1991,1.78125
10/15/1991,1.875
10/16/1991,1.910714
10/17/1991,1.870536
10/18/1991,1.964286
10/21/1991,1.955357
10/22/1991,1.946429
10/23/1991,1.897321
10/24/1991,1.861607
10/25/1991,1.830357
10/28/1991,1.839286
10/29/1991,1.848214
10/30/1991,1.776786
10/31/1991,1.839286
11/1/1991,1.821429
11/4/1991,1.776786
11/5/1991,1.741071
11/6/1991,1.714286
11/7/1991,1.776786
11/8/1991,1.901786
11/11/1991,1.919643
11/12/1991,1.946429
11/13/1991,1.933036
11/14/1991,1.955357
11/15/1991,1.785714
11/18/1991,1.861607
11/19/1991,1.830357
11/20/1991,1.803571
11/21/1991,1.821429
11/22/1991,1.830357
11/25/1991,1.830357
11/26/1991,1.839286
11/27/1991,1.821429
11/29/1991,1.8125
12/2/1991,1.848214
12/3/1991,1.803571
12/4/1991,1.803571
12/5/1991,1.785714
12/6/1991,1.741071
12/9/1991,1.754464
12/10/1991,1.754464
12/11/1991,1.75
12/12/1991,1.763393
12/13/1991,1.799107
12/16/1991,1.803571
12/17/1991,1.803571
12/18/1991,1.848214
12/19/1991,1.8125
12/20/1991,1.794643
12/23/1991,1.839286
12/24/1991,1.866071
12/26/1991,1.959821
12/27/1991,1.964286
12/30/1991,2.026786
12/31/1991,2.013393
1/2/1992,2.125
1/3/1992,2.107143
1/6/1992,2.071429
1/7/1992,2.111607
1/8/1992,2.160714
1/9/1992,2.223214
1/10/1992,2.223214
1/13/1992,2.214286
1/14/1992,2.303571
1/15/1992,2.267857
1/16/1992,2.241071
1/17/1992,2.3125
1/20/1992,2.285714
1/21/1992,2.183036
1/22/1992,2.267857
1/23/1992,2.303571
1/24/1992,2.308036
1/27/1992,2.303571
1/28/1992,2.330357
1/29/1992,2.258929
1/30/1992,2.276786
1/31/1992,2.3125
2/3/1992,2.348214
2/4/1992,2.348214
2/5/1992,2.361607
